,restaurant,online_order,book_table,rating,votes,cuisines,average_cost,restaurant_type,locality
11175,Ganesh Restaurant,Yes,No,3.7,51,"Chinese, Street Food",300.0,Dine-out,BTM
11176,Tangra Indo - Chinese Cuisine,Yes,No,3.6,29,"Chinese, Thai",400.0,Dine-out,BTM
11177,Upahara Darshini,Yes,No,4.0,166,"South Indian, North Indian, Chinese",400.0,Dine-out,BTM
11178,Panjabi Dhaba,No,No,3.2,21,"North Indian, Chinese",300.0,Dine-out,BTM
11181,Rimo,Yes,No,3.9,44,"Tibetan, Asian, Momos",500.0,Dine-out,BTM
11182,Star Kitchen,No,No,3.3,9,"Chinese, North Indian, Biryani",150.0,Dine-out,BTM
11183,Hotel Food Lands,Yes,No,3.8,57,"Seafood, Mangalorean",700.0,Dine-out,BTM
11184,Elmas Restaurant,Yes,No,3.4,34,"North Indian, Kerala, Chinese, Biryani, Seafood, South Indian",650.0,Dine-out,BTM
11185,Vijayalakshmi Veg,Yes,No,3.9,97,South Indian,200.0,Dine-out,BTM
11186,FRYBIES,Yes,No,3.3,15,Fast Food,350.0,Dine-out,BTM
11187,Chowpatty,Yes,No,3.6,95,"North Indian, Fast Food, Street Food",300.0,Dine-out,BTM
11188,Yummy Biryani,Yes,No,3.8,41,Biryani,200.0,Dine-out,BTM
11189,New Ambur Biryani,No,No,3.2,6,Biryani,150.0,Dine-out,BTM
11190,Nammura Upahara,No,No,3.8,40,South Indian,100.0,Dine-out,BTM
11192,Ambur Star Dum Biryani,Yes,No,3.4,17,Biryani,100.0,Dine-out,BTM
11193,Donne Biriyani House,Yes,No,3.5,406,"Biryani, Andhra, Kebab",400.0,Dine-out,BTM
11195,Dhuaan,No,No,3.8,109,"Cafe, Continental",800.0,Dine-out,BTM
11196,Spar Refresh,No,No,3.4,5,"North Indian, South Indian, Pizza",300.0,Dine-out,BTM
11197,Foodiesthan,Yes,No,3.7,59,"Cafe, Fast Food, North Indian",600.0,Dine-out,BTM
11198,Urban Spoon Buffet Restaurant,No,Yes,3.5,32,"North Indian, Chinese",1000.0,Dine-out,BTM
11201,Polar Bear,Yes,No,3.8,46,"Ice Cream, Desserts, Beverages, Sandwich",400.0,Dine-out,BTM
11202,Raghavendra Upahara,No,No,3.7,20,South Indian,200.0,Dine-out,BTM
11204,Min Mini Punjabi Dhaba,Yes,No,3.9,85,North Indian,400.0,Dine-out,BTM
11205,Friend's Cafe,Yes,No,3.9,551,"Fast Food, American, Chinese",600.0,Dine-out,BTM
11206,Selfie Cafe,No,No,3.7,19,"Beverages, Fast Food, Desserts",300.0,Dine-out,BTM
11207,The Golden Spoon Restaurant Meat & Wine,No,No,3.5,14,"Chinese, North Indian",1000.0,Dine-out,BTM
11208,Jaganath Restaurant And Hotel,No,No,3.2,8,North Indian,300.0,Dine-out,BTM
11209,Marhaba,No,No,3.5,25,"Arabian, Mediterranean, North Indian",500.0,Dine-out,BTM
11210,Amrit,No,No,3.4,24,"North Indian, Seafood",600.0,Dine-out,BTM
11211,Upahara Sagar,Yes,No,3.0,25,"South Indian, North Indian, Chinese",300.0,Dine-out,BTM
11212,Barbeque Station,Yes,No,2.8,151,"North Indian, Chinese, BBQ",700.0,Dine-out,BTM
11213,Mug N Bean,Yes,No,3.9,247,"Cafe, Continental, Italian, Burger",400.0,Dine-out,BTM
11214,Daawat Restaurant Bar & Pub,Yes,No,3.5,9,"Finger Food, North Indian, Seafood, Mangalorean, Chinese",700.0,Dine-out,BTM
11216,More Pizza,Yes,No,3.8,46,Pizza,450.0,Dine-out,BTM
11217,Hotel Palace,Yes,No,3.7,24,"Biryani, Chinese",250.0,Dine-out,BTM
11218,Naati Manae,Yes,No,3.1,10,"South Indian, Biryani",500.0,Dine-out,BTM
11219,Kalpavruksha,Yes,No,3.9,99,"South Indian, North Indian",300.0,Dine-out,BTM
11220,Pizza Stop,Yes,No,3.9,386,"Pizza, Italian",600.0,Dine-out,BTM
11221,Juice Fresco & Pizza,No,No,3.4,12,"Beverages, Pizza",300.0,Dine-out,BTM
11222,Venkateshwara Sweets and Restaurant,No,No,3.6,43,"South Indian, Mithai, Chinese, North Indian",400.0,Dine-out,BTM
11223,Shiv Sagar,No,No,3.9,152,"Chinese, North Indian, Fast Food, Street Food",500.0,Dine-out,BTM
11224,Sk Grand Hotel,No,No,3.2,6,South Indian,400.0,Dine-out,BTM
11225,Mak n Vak - Fyn,Yes,No,3.9,344,"North Indian, Chinese",500.0,Dine-out,BTM
11226,Chung Wah Opus,Yes,No,3.0,59,"Chinese, Thai",650.0,Dine-out,BTM
11227,Durbar Greens Family Restaurant,No,No,3.6,10,"North Indian, Chinese, South Indian",700.0,Dine-out,BTM
11228,Aroma Fine Dine,Yes,Yes,4.0,128,"North Indian, Mughlai, Chinese, South Indian",900.0,Dine-out,BTM
11229,The Hidden Cafe,Yes,No,3.9,96,"North Indian, Fast Food",350.0,Dine-out,BTM
11230,Mom's Momos,Yes,No,3.6,25,Chinese,100.0,Dine-out,BTM
11231,Shuddh Desi Khana,Yes,No,4.1,609,North Indian,400.0,Dine-out,BTM
11232,Tasty Bites,Yes,No,3.8,1,North Indian,450.0,Dine-out,BTM
11233,5th Main Cafe,No,No,3.5,15,"Cafe, Fast Food",250.0,Dine-out,BTM
11234,A Bar,No,No,3.3,19,"North Indian, Continental",600.0,Dine-out,BTM
11235,Sai Shiv Sagar,No,No,2.8,14,"South Indian, North Indian",300.0,Dine-out,BTM
11236,Tibbs Frankie,No,No,3.5,70,"Street Food, Rolls",200.0,Dine-out,BTM
11237,Momos Corner,No,No,3.3,6,Chinese,250.0,Dine-out,BTM
11238,Coconadu,No,No,3.7,36,"Kerala, Konkan",400.0,Dine-out,BTM
11242,Cafe Potpourri,Yes,No,3.7,132,"Cafe, Sandwich, North Indian, Beverages, Desserts",400.0,Dine-out,BTM
11243,New Royal Treat,Yes,No,2.8,102,"North Indian, Chinese",350.0,Dine-out,BTM
11244,Flavour of Himalaya,Yes,No,3.7,24,Asian,500.0,Dine-out,BTM
11246,Jayanagar Grill House,Yes,No,3.5,35,"Biryani, Kebab",250.0,Dine-out,BTM
11247,SLV Restaurant,No,No,4.2,377,"South Indian, North Indian, Chinese",300.0,Dine-out,BTM
11249,Vinaya Cafe,Yes,No,3.4,11,"South Indian, Street Food, Juices",200.0,Dine-out,BTM
11250,Village Donne Biryani,Yes,No,3.3,49,Biryani,300.0,Dine-out,BTM
11251,Tiwari's,Yes,No,3.9,75,"North Indian, Street Food",200.0,Dine-out,BTM
11252,Burrito Boys,Yes,No,3.0,6,"Mexican, Tex-Mex",400.0,Dine-out,BTM
11253,The Pavillion,No,No,2.7,43,"North Indian, Continental, South Indian, Chinese",1000.0,Dine-out,BTM
11254,Cafe Talk,No,No,3.3,14,"Cafe, Continental, North Indian, Bakery, Desserts",700.0,Dine-out,BTM
11265,Kamat Swaad,Yes,No,3.9,194,"South Indian, North Indian, Chinese",400.0,Dine-out,BTM
11268,China Down Town,Yes,No,3.5,5,Chinese,800.0,Dine-out,BTM
11270,Mamatha Restaurant,Yes,No,2.7,74,"Biryani, Hyderabadi, North Indian",700.0,Dine-out,BTM
11272,Rotti Mane,No,No,3.6,13,South Indian,200.0,Dine-out,BTM
11273,Mast Kalandar,No,No,2.3,175,North Indian,450.0,Dine-out,BTM
11274,D2V Cafe,No,No,3.6,13,Cafe,700.0,Dine-out,BTM
11276,Kinpeetos,Yes,No,3.9,64,"Lebanese, Greek",300.0,Dine-out,BTM
11277,Nandhanus Rasoi,Yes,No,3.4,9,"Chinese, Rolls, North Indian",200.0,Dine-out,BTM
11278,Udupi Grand,No,No,2.8,64,"South Indian, North Indian, Chinese",300.0,Dine-out,BTM
11279,Chaitanya Cafe,Yes,No,3.9,92,"South Indian, North Indian, Fast Food",300.0,Dine-out,BTM
11280,Natuna Seafood House,Yes,No,4.2,76,Seafood,450.0,Dine-out,BTM
11281,Biryani Foodies,Yes,No,3.1,7,"Biryani, Mughlai",500.0,Dine-out,BTM
11283,CHAAI BEE,No,No,3.5,8,"Beverages, Fast Food, Street Food",250.0,Dine-out,BTM
11284,Dum & Oven,No,No,3.7,29,"North Indian, Hyderabadi, Continental",600.0,Dine-out,BTM
11285,Cool Lassi Burger,No,No,3.1,7,"Beverages, Fast Food, Burger",200.0,Dine-out,BTM
11286,Le Rosa Restaurant,No,No,3.2,4,"North Indian, Mughlai, Biryani",700.0,Dine-out,BTM
11287,Turquoise,No,No,2.8,56,North Indian,1200.0,Dine-out,BTM
11288,Owl's Kitchen,No,No,2.6,53,"North Indian, Chinese",500.0,Dine-out,BTM
11289,Malnad Military Hotel,No,No,3.8,40,"South Indian, Chinese",500.0,Dine-out,BTM
11290,Indian Dhaba,No,No,3.3,7,"North Indian, Chinese",450.0,Dine-out,BTM
11291,Sri Vinayaka Andhra Mess,No,No,3.3,4,Andhra,300.0,Dine-out,BTM
11292,Bakimo,No,No,3.5,7,Continental,850.0,Dine-out,BTM
11293,Om's Cafe Prana,No,No,3.6,16,"Cafe, Fast Food",300.0,Dine-out,BTM
11297,Jayanagara Donne Biryani,Yes,No,3.6,60,"Biryani, South Indian",400.0,Dine-out,BTM
11298,David's Kitchen,Yes,No,3.5,13,"North Indian, South Indian, Chinese",200.0,Dine-out,BTM
11299,Wow Momo,Yes,No,3.3,12,"Tibetan, Momos",300.0,Dine-out,BTM
11300,The Monalisa Restaurant,Yes,No,3.3,4,Chinese,300.0,Dine-out,BTM
11301,Udupi Upachar,Yes,No,3.3,13,"South Indian, North Indian, Chinese, Street Food",300.0,Dine-out,BTM
11302,Kickin Burger,Yes,No,3.1,22,Fast Food,400.0,Dine-out,BTM
11303,Daily Bread,No,No,2.8,53,"Bakery, Fast Food, Italian",600.0,Dine-out,BTM
11304,Desi Dhaba,No,No,3.7,34,"North Indian, Chinese, Rolls",300.0,Dine-out,BTM
11305,Food And You,No,No,3.8,89,"North Indian, Gujarati",300.0,Dine-out,BTM
11306,Crave Bite,No,No,3.6,19,"Chinese, Italian, Fast Food, Momos",400.0,Dine-out,BTM
11307,Calvin's,No,No,2.9,231,"Desserts, Italian, Pizza",800.0,Dine-out,BTM
11319,Hotel Archana Grand,Yes,No,3.5,22,"Chinese, North Indian",500.0,Dine-out,BTM
11320,Tasty Khaana Khazana,Yes,No,3.3,6,North Indian,300.0,Dine-out,BTM
11321,Sip N Bite,Yes,No,3.3,11,"Fast Food, North Indian, South Indian, Chinese",300.0,Dine-out,BTM
11322,Hotel Aradhana,Yes,No,3.7,51,North Indian,300.0,Dine-out,BTM
11323,Chef Master,Yes,No,3.8,75,"Kerala, North Indian, Chinese",300.0,Dine-out,BTM
11324,Adithya,Yes,No,3.2,9,"North Indian, Chinese",400.0,Dine-out,BTM
11325,Burger Lounge,Yes,No,3.0,72,"Burger, Fast Food, Beverages",600.0,Dine-out,BTM
11326,Earth Plate Express,Yes,No,3.9,33,"Italian, Continental",600.0,Dine-out,BTM
11327,Eat Sleep Eat Repeat,Yes,No,3.5,16,"Chinese, North Indian, Continental",200.0,Dine-out,BTM
11328,Sri Krishna Sagar,No,No,3.5,12,South Indian,300.0,Dine-out,BTM
11329,Malabar Coastal Cuisine,No,No,3.6,68,Kerala,550.0,Dine-out,BTM
11330,Chai Chowk,No,No,3.8,82,"Chinese, Fast Food",200.0,Dine-out,BTM
11331,Hotel Paradise,No,No,3.3,5,Fast Food,200.0,Dine-out,BTM
11332,Waikiki,No,No,3.2,5,"Fast Food, Beverages",200.0,Dine-out,BTM
11333,Mini Forest,No,No,3.3,6,"Fast Food, Desserts",500.0,Dine-out,BTM
11334,H3O,No,No,3.3,4,"North Indian, Chinese",1000.0,Dine-out,BTM
11335,Tandoor Hut,No,No,2.2,90,"North Indian, Chinese",750.0,Dine-out,BTM
11336,Ambur Biryani Hotel,No,No,3.2,13,Biryani,200.0,Dine-out,BTM
11337,Cafe Choco Craze,No,No,3.7,9,"Cafe, Fast Food, Desserts",400.0,Dine-out,BTM
11338,Shree Nandini Andhra Mess,No,No,3.3,5,Andhra,150.0,Dine-out,BTM
11339,Malabar Mint,No,No,3.4,39,"Kerala, North Indian, Chinese",700.0,Dine-out,BTM
11340,Juice Buzz,No,No,3.1,10,Juices,200.0,Dine-out,BTM
11360,Chakh Le india,Yes,No,3.2,6,"North Indian, Chinese",250.0,Dine-out,BTM
11361,Calicut Durbar,Yes,No,3.9,58,"Arabian, North Indian",500.0,Dine-out,BTM
11364,Thrupthi Restaurant,No,No,3.4,15,Kerala,150.0,Dine-out,BTM
11365,Falafel's - The Lebanese Haus,No,No,2.9,53,Lebanese,300.0,Dine-out,BTM
11366,Panchami Garden,No,No,3.5,56,"South Indian, North Indian",400.0,Dine-out,BTM
11367,Dadaba's,No,No,3.3,6,Fast Food,300.0,Dine-out,BTM
11368,Cafe Bollywood,No,No,3.4,25,Street Food,200.0,Dine-out,BTM
11369,Shree Udupi Grand,Yes,No,3.8,14,"South Indian, North Indian, Chinese",600.0,Dine-out,BTM
11370,Swad 'E' Punjab,Yes,No,3.6,49,"North Indian, Chinese, Mughlai",500.0,Dine-out,BTM
11371,Now Momos,No,No,3.4,11,"Chinese, Fast Food, Momos",200.0,Dine-out,BTM
11372,Cool Point,No,No,3.2,7,"Juices, Fast Food",100.0,Dine-out,BTM
11373,SLV Kabab Centre,No,No,3.2,4,"Biryani, Fast Food",100.0,Dine-out,BTM
11374,Ammi's Biryani,No,No,2.7,77,"Biryani, North Indian",500.0,Dine-out,BTM
11375,Fahad Hotel,No,No,3.3,4,Fast Food,200.0,Dine-out,BTM
11376,Little Shangai,No,No,3.3,4,"Chinese, North Indian, Fast Food",400.0,Dine-out,BTM
11377,Uncle's Kitchen,No,No,2.8,12,"North Indian, Chinese, Fast Food",450.0,Dine-out,BTM
11378,Mysore Carnival Restaurant,No,No,3.8,14,"Chinese, Kerala, North Indian, South Indian",350.0,Dine-out,BTM
11379,Combo King Paramount,No,No,3.1,12,"Chinese, Kerala",500.0,Dine-out,BTM
11381,Krupa Sagar,No,No,3.2,4,"North Indian, South Indian, Chinese, Street Food",300.0,Dine-out,BTM
11382,Bao and Rolls,No,No,3.6,19,"Rolls, Kebab, Fast Food",250.0,Dine-out,BTM
11384,Banashankari Donne Biriyani,No,No,3.3,4,"South Indian, Biryani",300.0,Dine-out,BTM
11385,Egg House,No,No,2.9,14,"Continental, Italian, Fast Food",400.0,Dine-out,BTM
11387,S.W.A.T Food Truck,No,No,3.7,21,"American, Fast Food",250.0,Dine-out,BTM
11388,Loca Moca - The Indian Grub,No,No,3.4,4,"North Indian, Biryani",600.0,Dine-out,BTM
11390,The Little Kitchen,No,No,3.8,27,"Chinese, Momos",300.0,Dine-out,BTM
11391,Shanghai Times,No,No,3.2,23,"Chinese, Asian",450.0,Dine-out,BTM
11392,Food Feast Multicusine Restaurant,No,No,3.3,16,"North Indian, Chinese, Hyderabadi",600.0,Dine-out,BTM
11393,Prakruthi Restaurant,No,No,3.2,4,"Andhra, North Indian",400.0,Dine-out,BTM
11394,Cane Recipes,No,No,3.5,14,Juices,100.0,Dine-out,BTM
11395,Dry Dock Cafe,No,No,3.6,10,"Street Food, Tea",200.0,Dine-out,BTM
11397,Rolls On Wheel,No,No,3.0,18,"Fast Food, Rolls",300.0,Dine-out,BTM
11400,Chowk Tea Stall,No,No,3.4,8,"Street Food, Tea",100.0,Dine-out,BTM
11401,Jayanthi Sagar,No,No,3.1,21,"South Indian, North Indian, Chinese",200.0,Dine-out,BTM
11403,Biryani Point,No,No,3.2,7,Biryani,250.0,Dine-out,BTM
11405,Kanha's Kafe,No,No,3.5,12,"Awadhi, Bihari, Fast Food, Ice Cream, Mithai",200.0,Dine-out,BTM
11410,Naga's,No,No,2.7,16,"Hyderabadi, Andhra, North Indian",500.0,Dine-out,BTM
11411,FrostBite,No,No,3.5,15,"Desserts, Fast Food",400.0,Dine-out,BTM
11412,Suchi Ruchi Veg & Non Veg Resturant,No,No,3.2,4,"South Indian, North Indian",400.0,Dine-out,BTM
11413,Hotel Lakshmi Paradise,No,No,3.3,7,"North Indian, Mughlai",400.0,Dine-out,BTM
11415,Jodhpur Jaika,No,No,3.3,4,"North Indian, Street Food",200.0,Dine-out,BTM
11416,Lets cafe,No,No,3.5,6,"Chinese, North Indian",250.0,Dine-out,BTM
11418,Shiv Sagar,No,No,3.6,10,"South Indian, Beverages",400.0,Dine-out,BTM
11420,Desi Bites,No,No,3.3,4,Street Food,200.0,Dine-out,BTM
11421,Kuttanad,Yes,No,3.6,140,"Kerala, South Indian",200.0,Dine-out,BTM
11422,Woodee Pizza,Yes,No,2.7,85,"Cafe, Pizza, Fast Food, Beverages",500.0,Dine-out,BTM
11423,Pappu Da Dhaba,Yes,No,3.0,57,"North Indian, Fast Food, Beverages, Momos",400.0,Dine-out,BTM
11424,Juicy Momos,Yes,No,3.1,21,"Tibetan, Momos",250.0,Dine-out,BTM
11425,The Denny's,No,No,3.7,91,"North Indian, Chinese",900.0,Dine-out,BTM
11426,Tapri By The Corner,Yes,No,4.1,205,Fast Food,250.0,Dine-out,BTM
11427,Laa Raiba Restaurant,Yes,No,3.3,7,"Kerala, Chinese, South Indian",300.0,Dine-out,BTM
11428,Kakal-Kai Ruchi,No,No,3.8,89,"Fast Food, North Indian, Chinese, South Indian",400.0,Dine-out,BTM
11429,Sri Lakshmi Dhaba,No,No,3.0,17,"North Indian, Chinese",300.0,Dine-out,BTM
11430,Hotel Smile,Yes,No,3.1,6,"North Indian, Chinese",550.0,Dine-out,BTM
11431,Angel Restaurant,Yes,No,2.8,165,"Kerala, South Indian, North Indian",450.0,Dine-out,BTM
11432,Siddique Kabab Centre,Yes,No,3.1,68,"Mughlai, Kebab, Chinese",550.0,Dine-out,BTM
11433,Sulaimani Chai,No,No,3.8,21,"Fast Food, Beverages",100.0,Dine-out,BTM
11434,Khan Saheb Grills and Rolls,Yes,No,3.8,62,"Fast Food, Rolls",350.0,Dine-out,BTM
11435,Fresh Kitchen,Yes,No,3.4,15,"North Indian, Chinese",600.0,Dine-out,BTM
11436,Ambara Gardenia,Yes,Yes,3.8,256,"Andhra, North Indian, Chinese, Seafood",800.0,Dine-out,BTM
11437,Sri Ganesh Juice Corner,No,No,3.0,9,"Juices, Fast Food",150.0,Dine-out,BTM
11438,Hotel Khaaja,Yes,No,3.1,69,"Biryani, Fast Food",250.0,Dine-out,BTM
11439,Biryani Junction,Yes,No,2.3,298,"Biryani, North Indian, Chinese",450.0,Dine-out,BTM
11440,Cafe Mist,Yes,No,3.8,187,"Cafe, American, Continental, Italian",500.0,Dine-out,BTM
11441,Navya's,Yes,No,2.5,47,"Hyderabadi, Biryani, North Indian",800.0,Dine-out,BTM
11442,Gilly's Restobar,No,Yes,4.5,3902,"Finger Food, Continental, North Indian",1000.0,Drinks & nightlife,BTM
11444,"3B's - Buddies, Bar & Barbecues",No,Yes,4.4,1149,"North Indian, Mediterranean, European, BBQ",1100.0,Drinks & nightlife,BTM
11445,BANGALORE BOX,Yes,Yes,4.1,624,"Asian, Continental, Finger Food",1500.0,Drinks & nightlife,BTM
11446,Pecos Hideout,No,Yes,4.0,165,Finger Food,1100.0,Drinks & nightlife,BTM
11447,Invitation Bar & Restaurant,No,No,3.0,15,North Indian,1000.0,Drinks & nightlife,BTM
11448,Zanzibar - Davanam Sarovar Portico Suites,No,No,3.5,39,Finger Food,1200.0,Drinks & nightlife,BTM
11450,Gallop Bar - Davanam Sarovar Portico Suites,No,No,3.5,8,Finger Food,1600.0,Drinks & nightlife,BTM
11451,Koramangala Social,Yes,No,4.6,4650,"American, North Indian, Chinese, Finger Food",1500.0,Drinks & nightlife,BTM
11452,XOOX Brewmill,No,Yes,4.4,1533,"Modern Indian, European, Asian",2000.0,Drinks & nightlife,BTM
11453,Bombay Adda,No,Yes,4.5,2225,Modern Indian,1100.0,Drinks & nightlife,BTM
11455,Deja Vu Resto Bar,Yes,Yes,4.4,2493,"North Indian, Italian",900.0,Drinks & nightlife,BTM
11456,Brooks and Bonds Brewery,Yes,Yes,4.4,3870,"Continental, Mediterranean, North Indian, Chinese, Finger Food",1600.0,Drinks & nightlife,BTM
11457,Fenny's Lounge And Kitchen,No,Yes,4.5,6348,"Mediterranean, Pizza, Continental, Seafood, Salad",1600.0,Drinks & nightlife,BTM
11458,Brewsky,Yes,Yes,4.4,4315,"Continental, American",1600.0,Drinks & nightlife,BTM
11459,House Of Commons,No,Yes,4.8,4390,"Continental, Asian, North Indian",1000.0,Drinks & nightlife,BTM
11460,Drava,No,Yes,4.4,110,"Pizza, Continental, North Indian, Asian",1500.0,Drinks & nightlife,BTM
11461,The Terrace at Gilly's Redefined,No,Yes,4.6,866,"Continental, Finger Food, Asian, North Indian",1400.0,Drinks & nightlife,BTM
11462,The Boozy Griffin,No,Yes,4.6,4947,"European, Continental",1800.0,Drinks & nightlife,BTM
11463,Simon Says Brew Works,No,Yes,4.5,1932,"Continental, American, Italian, Modern Indian, Pizza, Burger",1400.0,Drinks & nightlife,BTM
11464,Myu Bar at Gilly's Redefined,No,Yes,4.4,1213,"American, North Indian, Pizza, Finger Food, Continental, Italian",1200.0,Drinks & nightlife,BTM
11465,55 Wall Street,No,Yes,3.9,1771,"Finger Food, North Indian, Chinese",1300.0,Drinks & nightlife,BTM
11466,Happy Brew,No,Yes,4.0,2151,"Continental, American, Chinese, BBQ, Salad",1000.0,Drinks & nightlife,BTM
11467,Crawl Street,Yes,Yes,4.3,2563,"Continental, Finger Food, North Indian, Chinese",1200.0,Drinks & nightlife,BTM
11468,Harry's Bar + Cafe,Yes,Yes,4.2,1365,"Asian, American, Mexican",1400.0,Drinks & nightlife,BTM
11470,Crumb Together,Yes,Yes,4.1,587,"Continental, Finger Food, North Indian, Chinese",1200.0,Drinks & nightlife,BTM
11471,What's In A Name,Yes,Yes,4.1,1774,"Finger Food, Asian, European, Italian",1200.0,Drinks & nightlife,BTM
11472,Sathya's,No,Yes,4.1,759,"North Indian, Chinese",1200.0,Drinks & nightlife,BTM
11473,Bottle Breacher,No,Yes,4.2,1192,"Italian, Continental",1200.0,Drinks & nightlife,BTM
11474,Tilt Gastro Lounge,No,Yes,4.1,1235,"Continental, American, North Indian, Chinese",1500.0,Drinks & nightlife,BTM
11475,52 Wall Street,No,No,3.9,737,"American, Continental, Finger Food",1400.0,Drinks & nightlife,BTM
11476,Bulls N Bears - Bar Trade Xchange,No,Yes,3.9,144,"Finger Food, North Indian, Continental, Pizza",1000.0,Drinks & nightlife,BTM
11477,Watson's,Yes,Yes,4.0,1014,"Finger Food, Chinese, Continental",1300.0,Drinks & nightlife,BTM
11478,Sutra Spice-The Resto Bar,No,No,3.9,31,"South Indian, Andhra",1000.0,Drinks & nightlife,BTM
11479,Sherlock's Pub,No,Yes,3.9,579,"Continental, North Indian, Chinese",1300.0,Drinks & nightlife,BTM
11480,Over The Top Terrace Lounge,No,Yes,3.9,1388,"Continental, North Indian",1400.0,Drinks & nightlife,BTM
11481,Fandom at Gilly's Redefined,No,No,3.8,103,Finger Food,1500.0,Drinks & nightlife,BTM
11482,Coconut Grove,No,No,3.4,97,"South Indian, Chettinad, Kerala, Seafood",1100.0,Drinks & nightlife,BTM
11483,Barcode,No,Yes,3.8,169,"South Indian, North Indian",1300.0,Drinks & nightlife,BTM
11484,Daawat Restaurant Bar & Pub,Yes,No,3.5,9,"Finger Food, North Indian, Seafood, Mangalorean, Chinese",700.0,Drinks & nightlife,BTM
11485,Turquoise,No,No,2.8,56,North Indian,1200.0,Drinks & nightlife,BTM
11486,H3O,No,No,3.3,4,"North Indian, Chinese",1000.0,Drinks & nightlife,BTM
11487,"3B's - Buddies, Bar & Barbecues",No,Yes,4.4,1154,"North Indian, Mediterranean, European, BBQ",1100.0,Pubs and bars,BTM
11488,Fenny's Lounge And Kitchen,No,Yes,4.5,6349,"Mediterranean, Pizza, Continental, Seafood, Salad",1600.0,Pubs and bars,BTM
11490,BANGALORE BOX,Yes,Yes,4.1,625,"Asian, Continental, Finger Food",1500.0,Pubs and bars,BTM
11491,Pecos Hideout,No,Yes,4.0,165,Finger Food,1100.0,Pubs and bars,BTM
11492,Invitation Bar & Restaurant,No,No,3.0,15,North Indian,1000.0,Pubs and bars,BTM
11493,Zanzibar - Davanam Sarovar Portico Suites,No,No,3.5,39,Finger Food,1200.0,Pubs and bars,BTM
11496,Zengi Pub & Restaurant,Yes,No,3.7,32,"Finger Food, Continental, Chinese",900.0,Pubs and bars,BTM
11497,The Black Pearl,No,Yes,4.7,10422,"North Indian, European, Mediterranean",1400.0,Pubs and bars,BTM
11498,Gilly's Restobar,No,Yes,4.5,3903,"Finger Food, Continental, North Indian",1000.0,Pubs and bars,BTM
11499,Bombay Adda,No,Yes,4.5,2233,Modern Indian,1100.0,Pubs and bars,BTM
11500,Buff Buffet Buff,Yes,Yes,4.5,3130,"North Indian, Chinese, Continental, Thai, Salad",1500.0,Pubs and bars,BTM
11501,Deja Vu Resto Bar,Yes,Yes,4.4,2493,"North Indian, Italian",900.0,Pubs and bars,BTM
11502,Indigo XP,No,No,4.3,2349,"Finger Food, Continental, Asian, North Indian",1400.0,Pubs and bars,BTM
11504,Asia Kitchen By Mainland China,Yes,Yes,4.9,2184,"Asian, Chinese, Thai, Momos",1500.0,Pubs and bars,BTM
11505,House Of Commons,No,Yes,4.8,4390,"Continental, Asian, North Indian",1000.0,Pubs and bars,BTM
11506,Punjab Bistro,Yes,Yes,4.4,454,North Indian,1500.0,Pubs and bars,BTM
11507,The Boozy Griffin,No,Yes,4.6,4965,"European, Continental",1800.0,Pubs and bars,BTM
11508,Three Dots & A Dash,No,Yes,4.3,1203,"European, Continental",1500.0,Pubs and bars,BTM
11509,Myu Bar at Gilly's Redefined,No,Yes,4.4,1213,"American, North Indian, Pizza, Finger Food, Continental, Italian",1200.0,Pubs and bars,BTM
11510,55 Wall Street,No,Yes,3.9,1774,"Finger Food, North Indian, Chinese",1300.0,Pubs and bars,BTM
11511,Public - The Rooftop Bar And Kitchen,No,Yes,4.3,958,"North Indian, South Indian, Andhra, Chinese",1000.0,Pubs and bars,BTM
11512,Crawl Street,Yes,Yes,4.3,2562,"Continental, Finger Food, North Indian, Chinese",1200.0,Pubs and bars,BTM
11514,Harry's Bar + Cafe,Yes,Yes,4.2,1365,"Asian, American, Mexican",1400.0,Pubs and bars,BTM
11515,Beer Adda,Yes,Yes,4.2,541,"North Indian, Chinese, Pizza",1000.0,Pubs and bars,BTM
11516,Fava Bistro,Yes,Yes,4.4,383,"Mediterranean, Pizza, Italian, Beverages",1500.0,Pubs and bars,BTM
11517,Crumb Together,Yes,Yes,4.1,587,"Continental, Finger Food, North Indian, Chinese",1200.0,Pubs and bars,BTM
11518,Nandhana Palace,No,Yes,4.1,771,"Andhra, Biryani, North Indian, Chinese",800.0,Pubs and bars,BTM
11519,What's In A Name,Yes,Yes,4.1,1774,"Finger Food, Asian, European, Italian",1200.0,Pubs and bars,BTM
11520,Sathya's,No,Yes,4.1,759,"North Indian, Chinese",1200.0,Pubs and bars,BTM
11521,Bottle Breacher,No,Yes,4.2,1194,"Italian, Continental",1200.0,Pubs and bars,BTM
11522,Bistro Oui,Yes,Yes,4.1,400,"Cafe, Continental, Salad, Steak",1200.0,Pubs and bars,BTM
11523,52 Wall Street,No,No,3.9,738,"American, Continental, Finger Food",1400.0,Pubs and bars,BTM
11524,Bulls N Bears - Bar Trade Xchange,No,Yes,3.9,144,"Finger Food, North Indian, Continental, Pizza",1000.0,Pubs and bars,BTM
11525,Johnny Fox,No,No,3.9,66,"North Indian, Chinese",1500.0,Pubs and bars,BTM
11526,Watson's,Yes,Yes,4.0,1015,"Finger Food, Chinese, Continental",1300.0,Pubs and bars,BTM
